Computer name,User  Account ,Adobe CC software ,Operating System ,Last Logon Time Stamp
16126-6MJ0G2,kanterc,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/21/2018 15:35
16138-82JHH2,gregorna,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:34
16138-82JHH2,gregorna,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:34
16138-82JHH2,gregorna,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:34
16256-02M0G2,ledesmagia,Bridge CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,InCopy CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Prelude CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Muse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Scout CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16342-2SL0G2,decrocet,After Effects CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Bridge CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Audition CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Prelude CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,InCopy CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Muse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Scout CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Fuse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16408-GJYZHK2,branigal,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:09
16414-Y0K7M2,Administrator,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 13:27
16414-Y0K7M2,Administrator,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 13:27
16421-XXX0M2,kaserr,Scout CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Muse CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Prelude CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Bridge CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Audition CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,After Effects CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,InCopy CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16425-XYK7M2,smolard,Photoshop CC,Microsoft Windows NT Workstation 10.0,
16425-XYK7M2,smolard,InCopy CC,Microsoft Windows NT Workstation 10.0,
16425-XYK7M2,smolard,InDesign CC,Microsoft Windows NT Workstation 10.0,
16431-YJN7M2,yooh,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Bridge CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,InCopy CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Fuse CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,InDesign CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Prelude CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Audition CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,After Effects CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Scout CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Muse CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16431-YJN7M2,yooh,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/18/2018 0:04
16434-YDT7M2,privbrianl,Scout CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,InCopy CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Prelude CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Muse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Audition CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,After Effects CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Bridge CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Fuse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16434-YDT7M2,privbrianl,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:56
16441-YHQ7M2,pascualr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 8:51
ADMN10X-CDHM12,trujilma,Bridge CC,Microsoft Windows NT Workstation 6.1,2/5/2018 19:05
ADMN10X-CDHM12,trujilma,Photoshop CC,Microsoft Windows NT Workstation 6.1,2/5/2018 19:05
ADMN10X-CDHM12,trujilma,Illustrator CC,Microsoft Windows NT Workstation 6.1,2/5/2018 19:05
ADMN10X-CDHM12,trujilma,InDesign CC,Microsoft Windows NT Workstation 6.1,2/5/2018 19:05
ADMN114X-DS4N32,clarrya,Illustrator CC,Microsoft Windows NT Workstation 6.1,3/27/2018 8:35
ADMN114X-DS4N32,clarrya,InDesign CC,Microsoft Windows NT Workstation 6.1,3/27/2018 8:35
ADMN114X-DS4N32,clarrya,Photoshop CC,Microsoft Windows NT Workstation 6.1,3/27/2018 8:35
ADMN114X-DS4N32,clarrya,Bridge CC,Microsoft Windows NT Workstation 6.1,3/27/2018 8:35
ADMN120X-06HG12,solarikl,InDesign CC,Microsoft Windows NT Workstation 6.1,3/23/2018 15:48
ADMN120X-06HG12,solarikl,Photoshop CC,Microsoft Windows NT Workstation 6.1,3/23/2018 15:48
ADMN120X-CB6HG1,callanac,Photoshop CC,Microsoft Windows NT Workstation 6.1,3/22/2018 22:48
ADMN120X-CB6HG1,callanac,Illustrator CC,Microsoft Windows NT Workstation 6.1,3/22/2018 22:48
ADMN120X-CB6HG1,callanac,InDesign CC,Microsoft Windows NT Workstation 6.1,3/22/2018 22:48
ADMN120X-M4QS32,chapmank,InDesign CC,Microsoft Windows NT Workstation 6.1,3/19/2018 20:25
ADMN120X-M4QS32,chapmank,Illustrator CC,Microsoft Windows NT Workstation 6.1,3/19/2018 20:25
ADMN120X-M4QS32,chapmank,Photoshop CC,Microsoft Windows NT Workstation 6.1,3/19/2018 20:25
ADMN120X-M4QS32,chapmank,Premiere Pro CC,Microsoft Windows NT Workstation 6.1,3/19/2018 20:25
BANN203-J751XN,led7,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 8:37
BANN203-J751XT,beeryp1,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/20/2018 16:03
BANN203-J751YG,dangm5,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/23/2018 20:10
BANN203-J751YH,vuh8,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 3:26
BANN203-J751YV,mohamudm,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/23/2018 15:58
BANN203-J751YX,trann23,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/24/2018 14:29
BANN203-J751ZL,trann23,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/24/2018 12:59
BANN204-J751XL,taylor26,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/21/2018 11:27
BANN204-J751XR,furtonr,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/27/2018 12:08
